#separator:tab
#html:false
帝	임금 제	てい 皇帝（こうてい）ー황제 帝国（ていこく）ー제국 オトナ帝国の逆襲（オトナていこくのぎゃくしゅう）ー어른제국의 역습		임금 제(帝) / 살필 체(諦) / 맺을 체(締)
擦	문지를 찰(잘 살펴달라고(察) 손(扌)을 문지르며 기도) (살필 찰(察) : 집(宀)에서 제사(祭)지낼때는 여러가지 살펴야함)	さつ 摩擦（まさつ）ー마찰 摩擦熱（まさつねつ）ー마찰열 摩擦を生ずる（まさつをしょうずる）ー마찰을 일으키다 擦過傷（さっかしょう）ー찰과상	擦る（なする）ー(죄, 책임을) 전가하다, 덮어씌우다 罪を他人に擦る（つみをたにんになする）ー죄를 남에게 넘겨 씌우다 擦る（する）ー문지르다, 비비다 (すれる문어형) タオルで背中を擦る（タオルでせなかをする）ー수건으로 등을 문지르다 擦れる（すれる）ー닳다, 스치다 木の葉が擦れる音 （このはがすれるおと）ー나뭇잎이 스치는 소리	제사 제(祭) / 사귈 제(際) / 살필 찰(察) / 문지를 찰(擦)
牧	칠 목(소(牛)를 때려(攵) 다스리는 목장)	ぼく 放牧（ほうぼく）ー방목 牧師（ぼくし）ー목사 牧場（ぼくじょう）ー목장 牧畜（ぼくちく）ー목축 牧畜業（ぼくちくぎょう）ー목축업 遊牧（ゆうぼく）ー유목 遊牧人種（ゆうぼくじんしゅ）ー유목 인종	まき 牧場（まきば）ー목장	소 우(牛) / 물건 건(件) / 칠 목(牧)
赦	용서할 사(빨간(赤)줄을 쳐서(攵)용서해줌)	しゃ 赦免（しゃめん）ー사면 今般模範囚が赦免された（こんぱんもはんしゅうがしゃめんされた）ー이번에 모범수가 사면되었다 容赦（ようしゃ）ー용서 (용사) 情け容赦（なさけようしゃ）ー인정사정 特赦（とくしゃ）ー특사 特赦で減刑された（とくしゃでげんけいされた）ー특사로 감형되었다		붉을 적(赤) / 성낼 혁(嚇) / 용서할 사(赦)
啓	열 계(문(戶)을 쳐서(攵) 입구(口)를 열계)	けい 啓蒙（けいもう）ー계몽 大衆を啓蒙する（たいしゅうをけいもうする）ー대중을 계몽하다 啓蒙思想（けいもうしそう）ー계몽 사상 啓示（けいじ）ー계시 神の啓示を受ける（かみのけいじをうける）ー신의 계시를 받다		정사 정(政) / 고칠 개(改) / 낱 매(枚) / 패할 패(敗) / 격할 격(激) / 흩어질 산(散) / 열 계(啓)
悠	멀 유(몸을 수행(修)할때 속세의 마음(心)을 멀리함)	ゆう   悠久（ゆうきゅう）ー유구 悠久の歴史（ゆうきゅうのれきし）ー유구한 역사  悠然（ゆうぜん）ー유연  悠然と構える（ゆうぜんなかまえる）ー유연한 태도를 취하다  悠々自適（ゆうゆうじてき）ー유유자적		수행(닦을) 수(修) / 멀 유(悠)
廷	조정 정(신하들이 북쪽(壬)으로 걸어가(辶)임금과 조정하는장소)	てい 朝廷（ちょうてい）ー조정 法廷（ほうてい）ー법정 法廷闘争で是非を明らかにする（ほうていとうそうでぜひをあきらかにする）ー법정 투쟁으로 잘잘못을 가리다 開廷（かいてい）ー개정 (법정을 염)		조정 정(廷) / 뜰 정(庭) / 배 정(艇) / 낳을(거짓) 탄(誕)
艇	배 정(조정 정(廷)만한 크기의 작은 배(船))	てい 艦艇（かんてい）ー함정 揚陸艦艇（ようりくかんてい）ー상륙 함정  艦艇は大小の軍艦を総称する言葉だ（かんていはだいしょうのぐんかんをそうしょうすることばだ）ー함정은 크고 작은 군함을 총칭하는 말이다 競艇（きょうてい）ー경정, 조정 飛行艇（ひこうてい）ー비행정		붉을 단(丹) / 배 주(舟) / 배 선(船) / 배 항(航) / 군함 함(艦) / 배 정(艇) / 배 박(舶)  조정 정(廷) / 뜰 정(庭) / 배 정(艇) / 낳을(거짓) 탄(誕)
誕	낳을/거짓 탄(방금 낳은 아기는 길게늘여(延) 움(言))	たん 誕生（たんじょう）ー탄생 お誕生日はいつですか（おたんじょうびはいつですか）ー생일이 언제입니까 誕辰（たんしん）ー탄신, 생일 聖誕祭（せいたんさい）ー성탄절		조정 정(廷) / 뜰 정(庭) / 배 정(艇) / 낳을(거짓) 탄(誕)
鯨	고래 경(서울(京)만한 물고기(魚)는 고래)	げい 鯨肉（げいにく）ー고래 고기 鯨油（げいゆ）ー고래 기름 捕鯨（ほげい）ー포경 捕鯨禁止区域（ほげいきんしくいき）ー고래잡이 금지 구역	くじら 鯨（くじら）ー고래 (고래 방해되니까 쿠지라~)	서울 경(京) / 서늘할 량(涼) / 경치 경(景) / 동경할 경(憬) / 그림자 영(影) / 고래 경(鯨)
憬	동경할 경(마음(心)은 서울의 경치(景)를 동경함)	けい 憧憬（どうけい）ー동경 憧憬の的（どうけいのまと）ー동경의 대상 都会の生活を憧憬する（とかいのせいかつをどうけいする）ー도회 생활을 동경하다		서울 경(京) / 서늘할 량(涼) / 경치 경(景) / 동경할 경(憬) / 그림자 영(影) / 고래 경(鯨)
懸	매달 현(고을 현(県)에 실(糸)처럼 매달려 살고 싶은 마음(心)) (고을 현(県) : 눈(目)에 안보이는(乚)작은(小)것도 관리하는 고을 현)	けん 懸賞（けんしょう）ー현상 懸賞金（けんしょうきん）ー현상금 懸賞金が掛かっている（けんしょうきんがかかっている）ー현상금이 걸려 있다 一生懸命（いっしょうけんめい）ー일을 열심히함 け 懸念（けねん）ー걱정,염려 (똥챔 케넨을 하다니 걱정,염려)	懸ける（かける）ー걸다, 달다 新しい研究に命を懸ける（あたらしいけんきゅうにいのちをかける）ー새로운 연구에 목숨을 걸다 懸かる（かかる）ー걸리다, 매달리다 将来に期待が懸かる（しょうらいにきたいがかかる）ー장래에 기대가 걸리다	고을 현(県) / 매달 현(懸)
州	마을 주	しゅう 九州（きゅうしゅう）ー규슈 2泊3日で九州へ行く予定だ（にはくみっかできゅうしゅうへいくよていだ）ー2박3일 일정으로 규슈에 갈 예정이다 州政府（しゅうせいふ）ー주정부		마을 주(州) / 갚을 수(酬)
酬	갚을 수(마을(州)사람에게 술(酒)로 은혜를 갚을 수있음)	しゅう 報酬（ほうしゅう）ー보수 報酬をピンはねする（ほうしゅうをぴんはねする）ー보수의 일부를 떼어먹다 応酬（おうしゅう）ー응수		마을 주(州) / 갚을 수(酬)
憾	섭섭할 감(내 마음(忄)을 공감(感)해주지 않아 섭섭함)	かん 遺憾（いかん）ー유감 遺憾ながら今はご助力できません（いかんながらいまはじょりょくできません）ー유감스럽지만 지금은 도와 드릴수 없습니다		모두(다) 함(咸) / 느낄 감(感) / 줄어들(감소할) 감(減) / 섭섭할 감(憾)
拐	유괴 괴(손(手)에 칼(刀)을 들고 입(口)을 막아 유괴)	かい 誘拐（ゆうかい）ー유괴 誘拐事件が相次ぐ （ゆうかいじけんがあいつぐ）ー유괴 사건이 잇따르다		
弔	조문할 조(활(弓)을 걸어(l)놓고 전사자를 위로함)	ちょう 弔問（ちょうもん）ー조문 弔意（ちょうい）ー조의 弔意を表わす（ちょういをあらわす）ー조의를 표하다 慶弔（けいちょう）ー경조 慶弔費（けいちょうひ）ー경조비	弔う（とむらう）ー조문하다 亡き人の霊を弔う（なきひとのれいをとむらう）ー고인의 넋을 위로하다	활 궁(弓) / 조문할 조(弔) / 끌 인(引) / 강할 강(強) / 약할 약(弱) / 빠질 익(溺) / 끓을 비(沸) / 쓸 비(費)
疾	질병 질(독화살(矢)을 맞아 질병(疒)을 앓음)	しつ 疾患（しっかん）ー질환 先天性疾患で病院に通う（せんてんせいしっかんでびょういんにかよう）ー선천성 질환으로 병원에 다니다 疾病（しっぺい）ー질병 疾病のため欠勤する（しっぺいのためけっきんする）ー질병 때문에 결근하다 疾走（しっそう）ー질주 自動車が疾走する（じどうしゃがしっそうする）ー자동차가 질주하다 悪疾（あくしつ）ー악질		화살 시(矢) / 의사 의(医) / 질병 질(疾) / 미워할 질(嫉)
嫉	미워할 질(여자(女)의 질투는 병(疾)적이었음) (질병 질(疾) : 화살(矢)을 맞아 병(疒)을 앓음)	しつ 嫉妬（しっと）ー질투 同僚の出世を嫉妬する（どうりょうのしゅっせをしっよする）ー동료의 출세를 질투하다	嫉む（ねたむ）ー질투하다 友人の成功を嫉む（ゆうじんのせいこうをねたむ）ー친구의 성공을 시기하다 嫉ましい（ねたましい）ー샘이 나다	화살 시(矢) / 의사 의(医) / 질병 질(疾) / 미워할 질(嫉)
迭	번갈아 질(지위를 가고(辶) 잃는(失)것이 번갈아 이루어짐)	てつ 更迭（こうてつ）ー교체, 경질 (직위의 사람을 다른사람으로 바꿈) 監督が更迭される（かんとくがこうてつされる）ー감독이 경질되다		잃을 실(失) / 쇠 철(鉄) / 차례 질(秩) / 번갈아 질(迭)
秩	차례 질(벼(禾)를 잃지(失)않기위해 차례 질서있게 쌓음)	ちつ 秩序（ちつじょ）ー질서 無秩序（むちつじょ）ー무질서 組織の秩序を保っている（そしきのちつじょをたもっている）ー조직의 질서를 유지하고 있다		잃을 실(失) / 쇠 철(鉄) / 차례 질(秩) / 번갈아 질(迭)
痴	어르석을 치(알고(知)있다고 착각하는 병(疒))	ち 愚痴（ぐち）ー불평, 푸념 愚痴をこぼさないでください（ぐちをこぼさないでください）ー저한테 투정 좀 그만 부리세요 痴漢（ちかん）ー치한 痴漢が出没する（ちかんがしゅつぼつすつ）ー치한이 출몰하다 痴漢防止（ちかんぼうし）ー치한 방지		알 지(知) / 어리석을 치(痴)
汁	즙 즙(열번(十)을 짜내어 나오는 즙(氵))	じゅう 墨汁（ぼくじゅう）ー먹물 果汁（かじゅう）ー과즙 肉汁（にくじゅう）ー육즙	しる 汁(しる）ー국물, 즙 味噌汁（みそしる）ー된장국 甘い汁を吸う（あまいしるをすう）ー단물을 빨다	열 십(十) / 즙 즙(汁) / 셀 계(計) / 바늘 침(針)
軒	집 헌(수레(車)가 못들어오게 막음(干))	けん 軒（けん）ー집을 세는 단위, 채, 동 一軒（いっけん）ー한 채 一軒一軒虱潰しに調べた（いっけんいっけんしらみつぶしにしらべた）ー한집한집 이잡듯이 뒤졋다	軒（のき）ー처마 軒から氷柱が下がっている（のきからつららがさがっている）ー처마에 고드름이 늘어져 있다	방패 간(干) / 땀 한(汗) / 간 간(肝) / 새길 간(刊) / 집 헌(軒)
芋	토란 우(풀(艹)이 여기까지(于)만 자람)  (어조사 우(于) : 두 이(二) + 갈고리 정(丁))		いも 芋（いも）ー감자, 고구마, 토란의 총칭 さつま芋(さつまいも）ー고구마 じゃが芋（じゃがいも）ー감자	어조사 우(于) / 우주 우(宇) / 토란 우(芋)
韻	운 운(사람(員)들이 모여 소리(音)내는 운)	いん 余韻（よいん）ー여운 余韻が残る（よいんがのこる）ー여운이 남다 韻律（いんりつ）ー운율 伝統的な韻律（でんとうてきないんりつ）ー전통적인 운율 音韻（おんいん）ー음운		소리 음(音) / 뜻 의(意) / 운 운(韻) / 어두울 암(暗)
絹	비단 견(머리(口)와 몸통(月)으로 된 벌레한테 뽑은 실(糸))	けん 絹布（けんぷ）ー비단, 견직물	きぬ 絹（きぬ）ー비단 絹織物（きぬおりもの）ー견직물	
班	나눌 반(쌍옥(珏) 가운데를 칼(刀)로 나눔)	はん 班長（はんちょう）ー조장 班長に選ばれる（はんちょうにえらばれる）ー반장으로 뽑히다 班員（はんいん）ー모둠원		나눌 반(班) / 반점 반(斑)
斑	반점 반(쌍옥(珏) 가운데 글귀(文)을 새겨 얼룩(반점)같음)	はん 斑点（はんてん）ー반점 腕に赤い斑点ができる（うでにあかいはんてんができる）ー팔에 붉은 반점이 생기다 蒙古斑（もうこはん）ー몽고반점		나눌 반(班) / 반점 반(斑)
賦	부세 부(군사(武) 유지로 백성에게 돈(貝)을 부과) (무력 무(武) : 하나(一)의 무기(弋)로 숨을 먿게(止)하는 무력)	ふ 賦役（ふえき）ー부역 天賦（てんぷ）ー천부, 타고남 天賦の質に恵まれる（てんぷのしつにめぐまれる）ー천부적인 소질을 타고나다 月賦（げっぷ）ー월부 月賦で支払う（げっぷでしはらう）ー월부로 지불하다		무력 무(武) / 부세 부(賦) / 도둑 적(賊)
賊	도둑 적(재물(貝)을 뺏기위해 많은(十) 창(戈)을 들고다니는 무리) (병기 융(戎) : 많은(十) 창(戈)은 병기임)	ぞく 賊(ぞく）ー도적 盗賊（とうぞく）ー도적 海賊（かいぞく）ー해적 義賊（ぎぞく）ー의적 山賊（さんぞく）ー산적 山賊を打ち払う（さんぞくをうちはらう）ー산적을 쫓아 버리다 逆賊（ぎゃくぞく）ー역적 賊将（ぞくしょう）ー적장 賊将を捕える（ぞくしょうをとらえる）ー적장을 잡다	烏賊（いか）ー오징어 (까마귀 오(烏)+도둑 적(賊))	무력 무(武) / 부세 부(賦) / 도둑 적(賊)
系	이을/관계 계(하나(一)의 실로(糸)이어진 계통)	けい 系統（けいとう）ー계통  神経系統の障害（しんけいけいとうのしょうがい）ー신경 계통의 장애 体系（たいけい）ー체계 業務体系を組織化する（ぎょうむたいけいをそしきかする）ー업무 체계를 조직화하다 系列（けいれつ）ー계열 系列に属する（けいれつにぞくする）ー계열에 속하다 直系（ちょっけい）ー직계 文系（ぶんけい）ー문과 (문계)		이을(관계) 계(系) / 관계 계(係)
係	관계 계(사람(亻)들과 이어진(系) 관계) (이을/계통 계(系) : 하나(一)의 실로(糸)이어진 계통)	けい 関係（かんけい）ー관계 関係を付ける（かんけいをつける）ー관계를 맺다 無関係（むかんけい）ー무관계 相関関係（そうかんかんけい）ー상관 관계 三角関係（さんかくかんけい）ー삼각 관계 人間関係（にんげんかんけい）ー인간 관계 連系（れんけい）ー연계	係る（かかる）ー관계되다 本件に係る訴訟 （ほんけんにかかるそしょう）ー본건에 걸린 소송 係り（かかり）ー계, 담당 係員（かかりいん）ー계원	이을(관계) 계(系) / 관계 계(係)
紫	자줏빛 자(멈춰야(止)보이는 비수(匕)같은 자주빛 실(糸))	し 紫外線（しがいせん）ー자외선 紫外線を浴びる（しがいせんをあびる）ー자외선을 쬐다 紫外線を吸収する（しがいせんをきゅうしゅうする）ー자외선을 흡수하다	むらさき 紫（むらさき）ー보랏빛, 보라색 紫色（むらさきいろ）ー보라색	
継	이을 계(쌀(米)은 남몰래(乚) 계통(糸)을 이어가고있음)	けい 継続（けいぞく）ー계속 中継（ちゅうけい）ー중계 中継放送（ちゅうけいほうそう）ー중계 방송 生中継（なまちゅうけい）ー생중계 継承（けいしょう）ー계승 王位を継承する（おういをけいしょうする）ー왕위를 계승하다 承継（しょうけい）ー승계	つぐ 継ぐ（つぐ）ー잇다 靴下の穴を継ぐ（くつしたのあなをつぐ）ー양말 구멍을 깁다 後継ぎ（あとつぎ）ー후계자	
飾	꾸밀 식(밥상(𩙿)에 화살(矢)같은 장식을 천(布)으로 꾸밈)	しょく 装飾（そうしょく）ー장식 装飾品（そうしょくひん）ー장식품 室内装飾品を販売する（しつないそうしょくひんをはんばいする）ー실내 장식품을 판매하다 虚飾（きょしょく）ー허식 修飾（しゅうしょく）ー수식 粉飾（ふんしょく）ー분식 (내용 없이 거죽만 좋게꾸밈)	飾る（かざる）ー장식하다 (CAR(か)를 자루(ざる)로 장식하다)  容体を飾る人（ようだいをかざるひと）ー외모를 꾸미는 사람 飾り（かざり）ー장식	수건 건(巾) / 펼 포(布) / 바랄 희(希) / 두려워할 포(怖) / 꾸밀 식(飾) / 시장 시(市) / 폐 폐(肺) / 감나무 시(柿) / 누나(언니) 자(姉)
帥	장수 수(언덕(𠂤)에서 수건(巾)을 쓰고있는 사람)	すい 総帥（そうすい）ー총수 将帥（しょうすい）ー장수 勇猛な将帥（ゆうもうなしょうすい）ー용맹한 장수 元帥（げんすい）ー원수 元帥の命令（げんすいのめいれい）ー원수의 명령		장수 수(帥) / 스승 사(師)
師	스승 사(장수 수(帥)중 으뜸(一)인 사람) (장수 수(帥) : 언덕(𠂤)에서 수건(巾)을 쓰고있는 사람)	し 師匠（ししょう）ー스승 講師（こうし）ー강사 講師としての基本姿勢がなってない（こうしとしてのきほんしせいがなってない）ー강사로서의 기본자세가 틀려먹었다 漁師（りょうし）ー어부 猟師（りょうし）ー사냥꾼  牧師（ぼくし）ー목사 教師（きょうし）ー교사 家庭教師（かていきょうし）ー가정 교사 反面教師（はんめんきょうし）ー반면 교사 美容師（びようし）ー미용사 医師（いし）ー의사		장수 수(帥) / 스승 사(師)
